Autoroute entrée	Péage entrée	Classe 1	Classe 5
VOIE SACREE	REIMS SUD	8.2	4.8
REIMS SUD	VERDUN	10.3	6.0
VERDUN	REIMS SUD	10.3	6.0
REIMS SUD	FRESNES EN WOEVRE	10.3	6.0
FRESNES EN WOEVRE	REIMS SUD	10.3	6.0
REIMS SUD	JARNY	11.8	7.3
JARNY	REIMS SUD	11.8	7.3
REIMS SUD	CLERMONT EN ARGONNE	6.6	4.2
CLERMONT EN ARGONNE	REIMS SUD	6.6	4.2
CHARMONT-S/BARBUISE	REIMS OUEST (THILLOIS)	11.8	6.7
REIMS OUEST (THILLOIS)	CHARMONT-S/BARBUISE	11.8	6.7
VALLEE DE L'AUBE	REIMS OUEST (THILLOIS)	9.0	5.5
REIMS OUEST (THILLOIS)	VALLEE DE L'AUBE	9.0	5.5
VALLEE DE L'AUBE	METZ BEAUMONT	16.2	9.8
METZ BEAUMONT	VALLEE DE L'AUBE	16.2	9.8
SOMMESOUS	MONTREUIL AUX LIONS	13.9	9.0
MONTREUIL AUX LIONS	SOMMESOUS	13.9	9.0
SOMMESOUS	REIMS NORD (ORMES)	6.6	4.1
REIMS NORD (ORMES)	SOMMESOUS	6.6	4.1
SOMMESOUS	REIMS OUEST (THILLOIS)	7.0	4.3
REIMS OUEST (THILLOIS)	SOMMESOUS	7.0	4.3
SOMMESOUS	VALLEE DE L'AUBE	1.8	1.0
VALLEE DE L'AUBE	SOMMESOUS	1.8	1.0
SOMMESOUS	CHALONS / LA VEUVE (REIMS)	3.1	2.1
CHALONS / LA VEUVE (REIMS)	SOMMESOUS	3.1	2.1
SOMMESOUS	CHALONS / LA VEUVE (METZ)	3.7	2.5
CHALONS / LA VEUVE (METZ)	SOMMESOUS	3.7	2.5
SOMMESOUS	METZ BEAUMONT	15.4	9.6
METZ BEAUMONT	SOMMESOUS	15.4	9.6
MONT CHOISY	MONTREUIL AUX LIONS	12.5	7.8
MONTREUIL AUX LIONS	MONT CHOISY	12.5	7.8
MONT CHOISY	REIMS NORD (ORMES)	4.9	2.9
REIMS NORD (ORMES)	MONT CHOISY	4.9	2.9
MONT CHOISY	REIMS OUEST (THILLOIS)	5.4	3.4
REIMS OUEST (THILLOIS)	MONT CHOISY	5.4	3.4
MONT CHOISY	VALLEE DE L'AUBE	3.6	2.1
VALLEE DE L'AUBE	MONT CHOISY	3.6	2.1
MONT CHOISY	CHALONS / LA VEUVE (REIMS)	1.4	0.8
CHALONS / LA VEUVE (REIMS)	MONT CHOISY	1.4	0.8
MONT CHOISY	CHALONS / LA VEUVE (METZ)	2.1	1.3
